	Filename / Номер оригинала в архиве	Source Text Title (or first line) / Название или первая строка	Genre / Жанр	Source Text Size (in tokens) / Объем в словоупотреблениях	Number of Translations / Кол-во переводов
	EN_1_164	20. Payment on suspension or termination	Tech	3173	1
	EN_1_165	Logistics Committee	Tech	1464	1
	EMPTY				
	EN_1_167	10. CHANGES  10.1 Subject to the provisions of this Clause 10, the Company shall have the right	Tech	5460	1
	EN_1_168	b. Preparation of Medal Ceremony	Tech	4338	1
	EN_1_169	Why are some scientists unhappy with the Nobel prizes?	Essay	352 (part)	65
	EN_1_170	Why our kids hate math	Essay	584 and 460 (parts)	9
	EN_1_171	An old rule of cuisine is explained by chemistry	Informational	279 (part)	40
	EN_1_172	Sochi Olympic bobsleigh track 'safe but technically challenging'	Informational	483	22
	RU_1_173	Выступление С.В.Лаврова перед студентами и профессорско-преподавательским составом МГИМО	Speech	620 (part)	26
	EN_1_174	Why Inequality Matters	Essay	554 (part)	8
	EN_1_175	The Fear Economy	Essay	523 (part)	5
	EN_1_176	Ten years without books	Essay	655	11
	RU_1_177	Каждый раз, когда нас ставят перед выбором...	Essay	597	12
	EN_1_178	Central banks Fixing forward guidance	Essay	730	1
	EN_1_179	The Federal Reserve at 100. Age shall not weary her	Essay	1100	1
	EN_1_180	The global economy	Essay	1090	1
	EN_1_181	Regional unemployment	Essay	331	1
	EN_1_182	Technology and jobs	Essay	1306	1
	RU_1_183	Обращение губернатора на сайте	Speech	347	13
	EN_1_184	Paul Krugman. The War Over Poverty	Essay	483 (part)	2
	EN_1_185	Kevin D. Williamson. Inequality Does Not Matter	Essay	471/832 (part/full)	3
	EN_1_186	THE AUTOBIOGRAPHY OF A MASTER by Lester Levenson	Essay	1131	15
	EN_1_187	The Impact Of Land-Amelioration On Mires Of The Tyumen Region (Western Siberia)	Academic	3303	1
	EN_1_188	László ANDOR, European Commissioner responsible for Employment, Social Affairs and Inclusion	Speech	489/1415	9
	EN_1_189	José Manuel Durão Barroso, European Commission President Remarks by President Barroso at the EU-Africa Summit	Speech	507/695	7
	RU_1_190	Экологические проблемы нефтедобычи в Тюменской области А.В.Соромотин	Academic	331/4235	1
	EN_1_191 	Oil and Gas of Kazakhstan	Informational	334	1
	EN_1_192	Tonio Borg, Member of the European Commission Commission approves a Joint Procurement Agreement for vaccines and medical counter-measures	Speech	308	1
	EN_1_193	Chaillot Forum: Culture needs more public and private support to reap benefits of the digital revolution	Informational	457	8
	EN_1_194	Digitalising Greece with more than EUR 389 million of EU regional funds	Informational	474	8
	RU_1_195	Строительная компания «Эргана» выполняет комплексную реализацию объектов	Informational	291	10
	EN_1_196	The Day TV Died – Winners and Losers (Comcast, Disney, CBS) Adam Hartung	Essay	484	12
	EN_1_197	PETROCHEMISTRY 	Informational	405	1
	EN_1_198	Workers' employment and family	Informational	356	10+ref
	EN_1_199	DESKS Work surfaces:	tech	367	8+ref
	EN_1_200	Viva Brazil!	essay	338	9+ref
	EN_1_201	OFFICIAL NOTICE Subject: Annual medical check-up	Informational	270	9+ref
	EN_1_202	Congratulations on the Cinematography Oscar for 'Gravity'.	Interview	586	32+ref
	EN_1_203	The way you work is going to change By Richard Branson	Essay	416	19+ref
	EN_1_204	Oceans Apart	Essay	2515	4
	EN_1_205	Neuroscientists garner Nobel for discovering brain’s ‘inner GPS’	Informational	731	19
	EN_1_206	New Tamiflu study suggests drug does reduce flu impact considerably	Informational	752	14
	EN_1_207	Does the government really understand e-bikes?	Informational	1159	5
	EN_1_208	How to Be a Gourmet Cook in 3 Easy Lessons	Informational	1350	6
	EN_1_209	Ethnic Tensions in Moscow Spook the City's Migrants	Informational	799	5
	EN_1_210	When kids bury kids': Russia remembers 130 victims of Nord-Ost terror act 10 years on	Informational	978	4
	EN_1_211	Fear vs. Radiation: The Mismatch	Informational	894	5
	EN_1_212	UK industrialists have warned they face "catastrophic""	Informational	630	
	EN_1_213	American trio share Nobel economics prize for work on asset prices	Informational	824	4
	RU_1_214	Жемчужина Сибири	Informational	329	12+ref
	RU_1_215	Туризм в ТО: Событийный туризм 	Informational	196	2
	RU_1_216	Туризм в ТО: Охотничье-рыболовный туризм	Informational	272	2
	RU_1_217	Туризм в ТО: санаторно-курортный туризм	Informational	228	3
	RU_1_218	Туризм в ТО: Культурно-познавательный 1	Informational	208	3
	RU_1_219	Туризм в ТО: Культурно-познавательный 2	Informational	214	2
	RU_1_220	Туризм в ТО: Медициоский туризм	Informational	266	3
	RU_1_221	Туризм в ТО: Авиатуризм	Informational	209	3
	RU_1_222	Туризм в ТО: Вертолетные экскурсии	Informational	241	2
	RU_1_223	Туризм в ТО: Полеты на самолетах	Informational	328	3
	RU_1_224	Туризм в ТО: Полёты на парапланах	Informational	239	2
	RU_1_225	Туризм в ТО: На большом воздушном шаре	Informational	317	2
	RU_1_226	Туризм в ТО: Деловой туризм	Informational	156	1
	EN_1_227	Italy crisis: Silvio Berlusconi resigns as PM	Informational	252	20
	EN_1_228	Egypt's army passes draft constitutional amendments	Informational	308	20
	RU_1_229	Послание губернатора Якушева Думе	Speech	500	17
	RU_1_230	Торжественная речь ректора РЭШ Гуриева	Speech	420	7
	EN_1_231	Closing speech Eurocommission on Energy	Speech	651	23
	EN_1_232	Statement on U.S. National Security Strategy for 2015 by Ambassador Daniel B. Baer	Speech	356	7
	EN_1_233	Normal is crazy enough: four things you need to know about doing business with the Dutch	Essay	358	4
	EN_1_234	Improving Water Governance Contributes to Security by Ambassador Daniel B. Baer	Speech	391	1
	EN_1_235	Monochromatic and Polychromatic Cultures	Essay	364	10
	RU_1_236	Тюменская область (общая справка)	Informational	1311	1
	EN_1_237	Simple secrets and tricks of the trade	Essay	771	8
	EN_1_238	Once we make this dream a reality...  By Michelle Bachelet	Speech	376	12
	EN_1_239	Op-Ed: First Decolonisation, Now 'Depatriarchilisation' By Lakshmi Puri	Speech	401	10
	EN_1_240	Let's embrace a culture that allows dissent by Helena Morrissey	Essay	372	10
	EN_1_241	Depressing Jargon	Essay	403	11+ref
	EN_1_242	Lessons Learned From Data Mining in Unconventional Reservoirs	Informational	323	1
	EN_1_243	Factors Associated with Primary School Teachers’ Attitudes Towards the Inclusion of Students with Disabilities	Academic	3853	1
	EN_1_244	The Truth about Genetically Modified Food	informational	388	48
	EN_1_245	Does Reading Literature Really Beef Up Your Brain?	essay	546	28
	EN_1_246	Think again, men	informational	285	18
	EN_1_247	In Ulan Bator, winter stoves fuel a smog responsible for one in 10 deaths	Informational	1116	6
	EN_1_248	Does Great Literature Make Us Better?	essay	552/1846	2
	EN_1_249	Conceptualizing Mediatization: Contexts, traditions, arguments	academic	474/5256	9
	RU_1_250	Part 1.  Частные агентства занятости и заемный труд	academic	475	2
	RU_1_251	Part 2.  Частные агентства занятости и заемный труд	academic	471	2
	RU_1_252	Part 3.  Частные агентства занятости и заемный труд	academic	442	2
	RU_1_253	Part 4.  Частные агентства занятости и заемный труд	academic	381	2
	RU_1_254	Part 5.  Частные агентства занятости и заемный труд	academic	500	2
	RU_1_255	Part 6.  Частные агентства занятости и заемный труд	academic	429	1
	RU_1_256	Part 7.  Частные агентства занятости и заемный труд	academic	489	1
	RU_1_257	Part 8.  Частные агентства занятости и заемный труд	academic	535	2
	RU_1_258	Part 9.  Частные агентства занятости и заемный труд	academic	398	1
	RU_1_259	Part 10.  Частные агентства занятости и заемный труд	academic	400	1
	EN_1_260	Ancient women and men wore only jewelry before clothing became a necessity	educational	416	34
	EN_1_261	Is our love of connectivity turning Britons off sex?	essay	338	2
	EN_1_262	Intelligent Machines: The jobs robots will steal first	essay	357	2
	EN_1_263	What makes a job susceptible to automation?	essay	251	2
	EN_1_264	The importance of the Thames since ancient times has left its mark.	educational	327	8
	EN_1_265	The economy since the Brexit referendum	essay	433	9+ref
	EN_1_266	How do they get lead in a wooden pencil?	educational	514	4
	RU_1_267	Сегодня в нашем видеопутеводителе вы увидите	speech	348	11
	EN_1_268	Isaac Lidsky What reality are you creating for yourself?	speech	501	11
	RU_1_269	Послание Губернатора TO 2015	speech	506	11
	EN_1_270	Volac Fat Guide	informational	488	9
	EN_1_271	Don’t visit Ms Peregrin’s house of peculiar children	Review/contest	535	36
	RU_1_272	Привлечение инвестиций в экономику области и создание  благоприятного инвестиционного климата 	informational	323	1
	EN_1_273	Twitter Quitters Highlight Problem In Company's Quest To Go Mainstream	Informational	987	4
	EN_1_274	Many writers might give their right arm to( NYTimes October  25, 2016)	Informational/contest	339	41
	RU_1_275	Новости фнц. Есенгалий ибраев: возможности фцн в тюмени впечатляют	informational	316	2
	RU_1_276	Новости фнц. Врачи Федерального центра нейрохирургии избавили пациентку	informational	588	1
	RU_1_277	Новости фнц. Альберт Суфианов: ФЦН в Тюмени в 2016 году добился колоссальных результатов	informational	393	2
	EN_1_278	What is corian?	Advertisement	1328	9
	RU_1_279	Новости фнц. Гуру нейрохирургии Генри Шредер читал лекции в Тюмени	informational	612	2
	RU_1_280	Новости фнц. Международная конференция по хирургии основания черепа	informational	762	2
	RU_1_281	Новости фнц. Салман Шариф: международные конференции в Тюмени такого масштаба	informational	399	2
	RU_1_282	Новости фнц. В тюменском нейроцентре созданы все условия для лечения пациентов «золотого» возраста	informational	380	1+ref
	EN_1_283	The Great AI Awakening. Prologue	essay	1035	1
	EN_1_284	Photo exhibition Humanity in War opens at the International Red Cross and Red Crescent Museum	Advertisement	290	9
	EN_1_285	The International Consumer Electronics Show: About Us	Advertisement	261	10
	EN_1_286	The Great AI Awakening. Part I: Learning Machine	essay	1039	1
	RU_1_287	Уважаемый г-н A. Ван Дийк, c 5 по 14 июня 2010 на базе	Letters	156	10
	EN_1_288	The Great AI Awakening. Hinton had been working on neural networks	essay	883	1
	EN_1_289	Home exchange – cut the cost of your holiday	essay	260	5
	EN_1_290	The Great AI Awakening. Now the network foreman goes back to identify	essay	738	1
	EN_1_291	Path to peace runs through a history of tumult (CNN)	Informational	475	1
	EN_1_292	England’s shame	essay	258	5
	EN_1_293	The Great AI Awakening. Still, certain dimensions in the space, it turned out,	essay	951	1
	EN_1_294	The Great AI Awakening. They told Hughes that 2016 seemed like a good time	essay	860	1
